cutoff_Hz,ピーク誤差_中央値,ピーク誤差_最悪,ノイズ低減_中央値,ノイズ低減_最小
5,-25.109598724520836,-53.88809801786433,1.4222720200755434,0.09167966204962162
10,-6.033942238464643,-38.05305213510996,7.26575992616057,0.961618265920059
15,-4.192204461560623,-36.562952873074394,7.832946523635323,2.03783967240841
20,-3.6929413837060925,-37.50319119250347,10.286054098720172,1.9985667834484124
25,-3.455265848547058,-36.5725208533457,10.269608669370857,2.012425631026166
30,-3.4929445833956043,-36.96864076911453,10.143850228497929,1.959236212427707
40,-3.319940681248595,-36.415215690953,9.258114237725572,1.8321287408558766
50,-3.2060743900163935,-37.155822105602525,4.099402851985466,1.530142249604637
75,-3.2629479881550276,-37.5023143792071,4.237075713988696,1.5879998107078124
100,-3.2624509735316884,-37.37888243835149,4.325090154148466,1.547020494412095
150,-3.195646772722423,-36.90642815443009,3.3340076434384214,1.3583736223459153
200,-3.216466761657371,-36.73159352006387,3.325656644069397,1.352583374376527
300,-2.759875778154763,-34.06291485871465,2.715024701069091,1.167818464194554
400,-2.6442006585736806,-32.935502325585,2.671853481823635,1.12595803129612
500,-2.5797035929761423,-32.117036846332155,2.592403617327486,1.0772439255831305
600,-2.4949759118049126,-31.243641773349633,2.571505608865878,1.080143421271594
700,-2.516635385700646,-31.358888338318256,2.571707265150355,1.0965909783794707
800,-2.4524209988134555,-30.739730723672242,2.5803463762018466,1.081992671320272
900,-2.4276750319805593,-30.80544195775646,2.5808019986977664,1.0888552713776458
1000,-2.399576803500267,-30.78694777753982,2.5873627646056585,1.108393516312518
