file,group,format,channel,cutoff_Hz,peak_error_pct,noise_reduction_x
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,5,-19.562328251309122,0.187339794806068
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,10,-2.0302161988974525,1.957538045666933
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,15,1.7125962296894794,7.614848803712416
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,20,0.11585855110283999,10.68942456766195
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,25,-2.1790606236986787,11.94576792506376
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,30,-1.6498902172400012,12.065854933519189
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,40,-1.06229357878031,11.28715621106772
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,50,-1.0740087668717904,10.47904201798632
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,75,-0.9940815789963595,9.27594550633741
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,100,-0.9494389976267337,8.602451836695234
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,150,-0.8738076608207967,5.242644154464231
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,200,-0.8368436890586808,5.122456296294376
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,300,-0.7426790702821636,3.1052857571401784
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,400,-0.7594283656774252,3.065866008568907
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,500,-0.7704042082755439,2.994240498850858
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,600,-0.774615041615902,2.9321356514848524
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,700,-0.763751683251323,2.857505378999375
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,800,-0.7476800258753118,2.8209982692275513
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,900,-0.7459965227101216,2.773985741306864
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V03,1000,-0.746846038764753,2.7624474102785967
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,5,-19.56953118915041,0.13792309760017432
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,10,-1.366209868526999,1.7197794747993118
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,15,1.8407575377331353,7.678116086401042
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,20,-0.13269523635893804,7.998050550947394
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,25,-1.8779461144883411,7.926852205262527
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,30,-1.1663844774734258,7.4698929179239695
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,40,-1.4503095058429818,7.52564823263188
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,50,-1.1904007739166995,4.424429452737071
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,75,-1.2591814615744346,4.555109497469977
058_190℃_200_0.5mm.csv,0.5mm_190℃,nr500,V04,100,-1.3703586199943676,4.547767873154357
