file,path,group,format,channel,zero_offset_applied_MPa,n_total,dt,duration_s,baseline_MPa,noise_sigma_MPa,noise_rms_MPa,peak_MPa,peak_minus_baseline_MPa,snr,event_start_s,event_end_s,event_width_s,analysis_start_s,analysis_end_s,analysis_points,rise_time_ms,required_bw_Hz,freq_resolution_Hz,nyquist_Hz,f90_Hz,f95_Hz,f99_Hz,f999_Hz,flags,zero_offset,zero_window_std
001_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\001_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.17315999979153276,1000000,4.9999999999999996e-06,5.0,15.966839628275483,18.413891759634016,18.413891759634016,49.20684202199802,33.240002393722534,1.8051589977621978,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,162.99499999999998,2.147305132059266,0.2,100000.00000000001,1.0,1.6,2.2,5.2,no_event,-4.3298697960381105e-18,0.08356802210790548
001_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\001_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-5.39088001281023,1000000,4.9999999999999996e-06,5.0,21.870880031883715,17.70224408483505,17.70224408483505,62.530882263481615,40.6600022315979,2.296884058130801,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,202.49999999999997,1.728395061728395,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,5.0,no_event,7.105427357601002e-17,0.12630134892750444
002_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\002_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.17385999980382622,1000000,4.9999999999999996e-06,5.0,19.40613944706507,14.321917187690733,14.321917187690733,48.94614179310389,29.540002346038822,2.062573184784757,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,153.26,2.283700900430641,0.2,100000.00000000001,1.2000000000000002,1.6,2.2,5.2,no_event,-4.440892098500626e-19,0.06159464492095482
002_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\002_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-5.016719968318939,1000000,4.9999999999999996e-06,5.0,31.73671928167343,6.4937874627113334,6.4937874627113334,62.2567197394371,30.520000457763672,4.699876710319796,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,166.99999999999997,2.0958083832335332,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,4.800000000000001,no_event,-2.486899575160351e-16,0.11546966478765504
003_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\003_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.19749999972758814,1000000,4.9999999999999996e-06,5.0,17.342499485288283,17.583637611865996,17.583637611865996,49.72250103024067,32.38000154495239,1.8414848087577362,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,163.98499999999999,2.134341555630088,0.2,100000.00000000001,1.0,1.4000000000000001,2.2,5.2,no_event,8.881784197001253e-18,0.06269728858888222
003_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\003_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-5.152959938943386,1000000,4.9999999999999996e-06,5.0,19.632959481179714,20.9936178946495,20.9936178946495,62.85295974820852,43.22000026702881,2.058720916228736,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,206.0,1.6990291262135921,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,4.800000000000001,no_event,1.4210854715202004e-16,0.11023266416957926
004_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\004_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.20665999923832715,1000000,4.9999999999999996e-06,5.0,16.153340372694657,17.583635844469068,17.583635844469068,49.3333399626147,33.179999589920044,1.8869817302521543,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,162.99999999999997,2.147239263803681,0.2,100000.00000000001,1.2000000000000002,1.6,2.2,5.2,no_event,5.10702591327572e-18,0.06452940822618329
004_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\004_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-4.647720009684563,1000000,4.9999999999999996e-06,5.0,25.827720314860343,12.424188876628875,12.424188876628875,62.80771985709667,36.97999954223633,2.9764518158444417,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,190.99999999999997,1.8324607329842932,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,4.800000000000001,no_event,3.1974423109204507e-16,0.11765202197554088
005_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\005_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.2342600006912835,1000000,4.9999999999999996e-06,5.0,16.345739923014772,18.621455738425254,18.621455738425254,49.20573767234338,32.85999774932861,1.7646309832545592,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,159.49999999999997,2.1943573667711602,0.2,100000.00000000001,1.0,1.6,2.2,5.2,no_event,-4.440892098500626e-18,0.07486155618140537
005_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\005_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-4.486120043098927,1000000,4.9999999999999996e-06,5.0,22.366119919121267,17.99876556944847,17.99876556944847,63.10611992865801,40.74000000953674,2.263488562720645,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,201.255,1.7390872276465181,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,4.800000000000001,no_event,2.1316282072803005e-16,0.12055597949755886
006_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\006_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.24650000110035764,1000000,4.9999999999999996e-06,5.0,16.7535004757368,17.553984226226806,17.553984226226806,49.27350141033763,32.52000093460083,1.8525709329289366,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,162.49999999999997,2.153846153846154,0.2,100000.00000000001,1.0,1.4000000000000001,2.2,5.2,no_event,-1.3322676295501878e-17,0.06722908692236554
006_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\006_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-4.169820019900799,1000000,4.9999999999999996e-06,5.0,17.62981958121061,22.59482295370102,22.59482295370102,63.26981849402189,45.63999891281128,2.0199316899420747,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,216.99999999999997,1.6129032258064517,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,4.800000000000001,no_event,7.105427357601002e-17,0.10543228011722622
007_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\007_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.2822400018875487,1000000,4.9999999999999996e-06,5.0,17.87775984552456,17.46502760410309,17.46502760410309,49.45775976923061,31.57999992370605,1.8081849419056693,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,159.49999999999997,2.1943573667711602,0.2,100000.00000000001,1.0,1.4000000000000001,2.2,5.2,no_event,-4.440892098500626e-18,0.064508777448749
007_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\007_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-3.6939200031757355,1000000,4.9999999999999996e-06,5.0,27.433920727968214,12.51314196395874,12.51314196395874,63.033920155763624,35.59999942779541,2.845008833938999,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,188.99999999999997,1.851851851851852,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,4.800000000000001,no_event,7.105427357601002e-17,0.10194427184295884
008_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\008_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.27014000177150593,1000000,4.9999999999999996e-06,5.0,18.80985992193455,16.753381696701048,16.753381696701048,49.549858739378394,30.739998817443844,1.834853367156133,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,156.49999999999997,2.236421725239617,0.2,100000.00000000001,1.0,1.4000000000000001,2.2,5.4,no_event,-9.769962616701377e-18,0.05821323197182744
008_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\008_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-3.587700010240078,1000000,4.9999999999999996e-06,5.0,20.36769974321127,21.290137611865998,21.290137611865998,62.54769909471273,42.179999351501465,1.981199000235328,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,197.51,1.7720621740671358,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,5.0,no_event,3.552713678800501e-17,0.11543790673817521
009_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\009_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V03,0.27588000225601716,1000000,4.9999999999999996e-06,5.0,19.64411983561935,16.367903589963912,16.367903589963912,49.604119158510585,29.959999322891235,1.8304115220510833,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,156.49999999999997,2.236421725239617,0.2,100000.00000000001,1.0,1.4000000000000001,2.2,5.4,no_event,1.4210854715202004e-17,0.09037602431834206
009_190℃_020_0.5mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\0.5mm\csv\0.5mm\190℃\009_190℃_020_0.5mm.csv,0.5mm_csv_0.5mm_190℃,nr500,V04,-3.2082799834012987,1000000,4.9999999999999996e-06,5.0,16.88828028857708,24.522204650402067,24.522204650402067,62.768278495669364,45.879998207092285,1.8709573164882642,0.0,4.999994999999999,4.999994999999999,0.0,4.999994999999999,1000000,214.99999999999997,1.6279069767441863,0.2,100000.00000000001,1.0,1.4000000000000001,2.0,5.0,no_event,1.9539925233402755e-16,0.13080459156724733
