Time:2026/08/05 16:10:15
Observation Period:20.0s Sampling Interval:1ms
Elapsed Time,CH01,CH02,CH03,CH04,
Unit,[MPa],[MPa],[MPa],[MPa],
0.000,0.00,0.02,0.04,0.00,
0.001,0.08,0.05,0.02,0.00,
0.002,0.00,0.00,0.09,0.05,
0.003,0.09,0.03,0.00,0.07,
0.004,0.07,0.00,0.00,0.02,
0.005,0.00,0.11,0.14,0.07,
0.006,0.00,0.03,0.06,0.00,
0.007,0.00,0.00,0.04,0.10,
0.008,0.01,0.00,0.00,0.00,
0.009,0.00,0.00,0.00,0.00,
0.010,0.00,0.01,0.00,0.03,
0.011,0.00,0.10,0.00,0.12,
0.012,0.04,0.05,0.09,0.15,
0.013,0.00,0.00,0.03,0.09,
0.014,0.02,0.00,0.04,0.11,
0.015,0.00,0.00,0.17,0.13,
0.016,0.00,0.00,0.12,0.13,
0.017,0.00,0.00,0.01,0.15,
0.018,0.00,0.00,0.00,0.08,
0.019,0.00,0.00,0.07,0.20,
0.020,0.00,0.00,0.00,0.13,
0.021,0.00,0.00,0.03,0.00,
0.022,0.04,0.05,0.00,0.00,
0.023,0.00,0.13,0.07,0.15,
0.024,0.00,0.00,0.00,0.09,
0.025,0.00,0.02,0.00,0.01,
0.026,0.00,0.00,0.00,0.00,
0.027,0.00,0.00,0.00,0.07,
0.028,0.00,0.00,0.00,0.04,
0.029,0.00,0.00,0.00,0.12,
0.030,0.00,0.00,0.06,0.04,
0.031,0.00,0.00,0.06,0.02,
0.032,0.00,0.00,0.17,0.15,
0.033,0.00,0.00,0.03,0.09,
0.034,0.00,0.00,0.04,0.11,
0.035,0.00,0.00,0.10,0.06,
0.036,0.00,0.00,0.06,0.12,
0.037,0.00,0.00,0.06,0.08,
0.038,0.00,0.00,0.11,0.15,
0.039,0.00,0.02,0.00,0.14,
0.040,0.00,0.00,0.00,0.04,
0.041,0.00,0.00,0.13,0.17,
0.042,0.00,0.00,0.05,0.11,
0.043,0.00,0.00,0.10,0.14,
0.044,0.00,0.00,0.05,0.17,
0.045,0.00,0.05,0.11,0.16,
0.046,0.00,0.02,0.09,0.03,
0.047,0.00,0.00,0.00,0.11,
0.048,0.00,0.08,0.02,0.07,
0.049,0.00,0.03,0.08,0.02,
0.050,0.00,0.00,0.00,0.18,
0.051,0.00,0.00,0.03,0.06,
0.052,0.00,0.03,0.00,0.10,
0.053,0.00,0.00,0.01,0.07,
0.054,0.00,0.00,0.00,0.00,
0.055,0.00,0.00,0.03,0.14,
0.056,0.00,0.00,0.01,0.10,
0.057,0.00,0.00,0.09,0.00,
0.058,0.00,0.00,0.08,0.08,
0.059,0.00,0.00,0.12,0.07,
0.060,0.00,0.00,0.10,0.02,
0.061,0.00,0.08,0.08,0.05,
0.062,0.00,0.03,0.01,0.00,
0.063,0.00,0.02,0.02,0.05,
0.064,0.02,0.00,0.05,0.10,
0.065,0.05,0.05,0.09,0.03,
0.066,0.02,0.00,0.07,0.02,
0.067,0.00,0.11,0.00,0.00,
0.068,0.00,0.00,0.00,0.00,
0.069,0.00,0.03,0.00,0.00,
0.070,0.00,0.00,0.00,0.00,
0.071,0.06,0.01,0.06,0.02,
0.072,0.00,0.10,0.01,0.00,
0.073,0.02,0.00,0.09,0.00,
0.074,0.02,0.00,0.02,0.00,
0.075,0.01,0.00,0.04,0.00,
0.076,0.03,0.00,0.00,0.00,
0.077,0.10,0.06,0.00,0.00,
0.078,0.01,0.00,0.04,0.00,
0.079,0.07,0.00,0.07,0.00,
0.080,0.06,0.00,0.04,0.00,
0.081,0.10,0.00,0.13,0.00,
0.082,0.03,0.00,0.10,0.00,
0.083,0.00,0.00,0.11,0.00,
0.084,0.00,0.00,0.12,0.00,
0.085,0.00,0.00,0.11,0.00,
0.086,0.00,0.01,0.03,0.00,
0.087,0.02,0.00,0.05,0.00,
0.088,0.04,0.00,0.11,0.00,
0.089,0.07,0.00,0.11,0.00,
0.090,0.00,0.00,0.17,0.00,
0.091,0.04,0.00,0.05,0.00,
0.092,0.07,0.00,0.09,0.00,
0.093,0.11,0.00,0.18,0.00,
0.094,0.01,0.11,0.02,0.00,
0.095,0.00,0.01,0.08,0.00,
0.096,0.00,0.05,0.07,0.00,
0.097,0.00,0.06,0.07,0.05,
0.098,0.06,0.00,0.15,0.00,
0.099,0.02,0.13,0.07,0.00,
0.100,0.06,0.00,0.07,0.00,
0.101,0.14,0.01,0.09,0.05,
0.102,0.05,0.00,0.04,0.00,
0.103,0.09,0.00,0.09,0.01,
0.104,0.10,0.04,0.06,0.00,
0.105,0.02,0.00,0.11,0.00,
0.106,0.00,0.10,0.00,0.00,
0.107,0.07,0.05,0.06,0.00,
0.108,0.00,0.00,0.12,0.00,
0.109,0.07,0.09,0.00,0.00,
0.110,0.09,0.00,0.00,0.00,
0.111,0.00,0.00,0.01,0.00,
0.112,0.09,0.03,0.10,0.00,
0.113,0.00,0.03,0.11,0.00,
0.114,0.06,0.16,0.00,0.00,
0.115,0.19,0.10,0.05,0.00,
0.116,0.11,0.02,0.18,0.00,
0.117,0.07,0.00,0.12,0.00,
0.118,0.00,0.04,0.15,0.02,
0.119,0.00,0.12,0.11,0.00,
0.120,0.00,0.11,0.09,0.00,
0.121,0.23,0.13,0.07,0.00,
0.122,0.11,0.09,0.19,0.00,
0.123,0.00,0.01,0.11,0.00,
0.124,0.04,0.10,0.17,0.00,
0.125,0.09,0.03,0.03,0.00,
0.126,0.00,0.00,0.12,0.00,
0.127,0.05,0.00,0.07,0.01,
0.128,0.07,0.13,0.01,0.00,
0.129,0.23,0.10,0.05,0.00,
0.130,0.07,0.08,0.12,0.00,
0.131,0.10,0.01,0.00,0.00,
