cutoff_Hz,ピーク誤差_中央値,ピーク誤差_最悪,ノイズ低減_中央値,ノイズ低減_最小
5,-25.109598724520836,-53.88809801786433,1.4222720200755434,0.09167966204962162
10,-6.033942238464643,-38.05305213510996,7.26575992616057,0.961618265920059
15,-4.192204461560623,-36.562952873074394,7.832946523635323,2.03783967240841
20,-3.6929413837060925,-37.50319119250347,10.286054098720172,1.9985667834484124
25,-3.455265848547058,-36.5725208533457,10.269608669370857,2.012425631026166
30,-3.4929445833956043,-36.96864076911453,10.143850228497929,1.959236212427707
40,-3.319940681248595,-36.415215690953,9.258114237725572,1.8321287408558766
50,-3.2060743900163935,-37.155822105602525,4.099402851985466,1.530142249604637
75,-3.2629479881550276,-37.5023143792071,4.237075713988696,1.5879998107078124
100,-3.2624509735316884,-37.37888243835149,4.325090154148466,1.547020494412095
